iter	Passed	Remaining
0	8	8527
1	16	8260
2	24	8167
3	32	8086
4	40	8153
5	48	8082
6	57	8115
7	65	8083
8	73	8117
9	81	8083
10	90	8108
11	98	8130
12	107	8137
13	115	8103
14	123	8118
15	131	8086
16	140	8105
17	148	8082
18	156	8070
19	164	8057
20	172	8061
21	181	8051
22	189	8043
23	197	8037
24	206	8038
25	214	8036
26	223	8039
27	231	8031
28	239	8033
29	248	8019
30	256	8009
31	264	7999
32	272	7993
33	280	7977
34	289	7972
35	297	7962
36	305	7957
37	313	7945
38	322	7937
39	330	7930
40	338	7922
41	347	7918
42	355	7914
43	363	7904
44	372	7898
45	380	7887
46	388	7881
47	396	7871
48	405	7865
49	413	7857
50	422	7856
51	430	7850
52	438	7841
53	447	7832
54	455	7823
55	463	7814
56	472	7815
57	480	7806
58	488	7798
59	497	7791
60	505	7782
61	513	7766
62	521	7761
63	529	7750
64	538	7744
65	546	7735
66	555	7729
67	563	7723
68	571	7714
69	580	7707
70	588	7699
71	596	7693
72	605	7685
73	613	7680
74	622	7677
75	630	7666
76	638	7657
77	646	7646
78	655	7641
79	663	7635
80	672	7627
81	680	7617
82	688	7607
83	696	7599
84	705	7594
85	713	7587
86	722	7584
87	731	7576
88	739	7567
89	747	7559
90	755	7550
91	764	7542
92	772	7534
93	781	7527
94	789	7517
95	797	7511
96	805	7500
97	813	7491
98	822	7481
99	830	7473
100	838	7466
101	847	7459
102	855	7450
103	863	7440
104	871	7431
105	880	7424
106	888	7415
107	896	7407
108	905	7398
109	913	7391
110	921	7381
111	929	7372
112	938	7363
113	946	7356
114	954	7345
115	962	7337
116	971	7328
117	979	7321
118	987	7313
119	996	7306
120	1004	7297
121	1012	7289
122	1021	7280
123	1029	7272
124	1037	7264
125	1046	7257
126	1054	7248
127	1062	7239
128	1070	7230
129	1079	7221
130	1087	7213
131	1095	7204
132	1103	7195
133	1112	7186
134	1120	7177
135	1128	7169
136	1137	7162
137	1145	7155
138	1153	7146
139	1161	7136
140	1170	7128
141	1178	7120
142	1186	7110
143	1194	7100
144	1202	7090
145	1210	7081
146	1219	7073
147	1227	7064
148	1235	7055
149	1243	7046
150	1251	7038
151	1259	7029
152	1268	7022
153	1276	7013
154	1285	7007
155	1293	7000
156	1302	6992
157	1310	6983
158	1318	6976
159	1326	6966
160	1335	6959
161	1343	6950
162	1351	6941
163	1359	6932
164	1368	6923
165	1375	6912
166	1384	6904
167	1392	6895
168	1400	6887
169	1409	6879
170	1417	6873
171	1426	6865
172	1434	6859
173	1443	6851
174	1451	6842
175	1459	6834
176	1468	6826
177	1476	6816
178	1484	6807
179	1492	6799
180	1501	6792
181	1509	6784
182	1517	6776
183	1526	6768
184	1534	6761
185	1542	6752
186	1551	6744
187	1559	6736
188	1567	6727
189	1576	6719
190	1584	6712
191	1592	6702
192	1601	6695
193	1609	6685
194	1617	6676
195	1625	6666
196	1633	6659
197	1642	6651
198	1650	6645
199	1659	6638
200	1668	6631
